City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
259,Vostok,RU,2021-11-20 16:34:33,46.4856,135.8833,13.08,98,99,2.42
260,Itaituba,BR,2021-11-20 16:34:33,-4.2761,-55.9836,91.56,66,40,5.75
261,Anchorage,US,2021-11-20 16:29:49,61.2181,-149.9003,9.63,79,1,0.0
262,Kulhudhuffushi,MV,2021-11-20 16:34:34,6.6221,73.07,82.51,66,99,17.38
263,San Patricio,US,2021-11-20 16:34:35,28.017,-97.5169,75.92,69,8,5.01
264,Dormidontovka,RU,2021-11-20 16:34:35,47.7702,134.9076,14.76,97,100,2.68
265,Waingapu,ID,2021-11-20 16:34:36,-9.6567,120.2641,82.83,76,96,3.36
266,Maiduguri,NG,2021-11-20 16:31:37,11.8464,13.1603,85.78,18,2,10.92
267,Ust-Koksa,RU,2021-11-20 16:34:37,50.2696,85.6108,-0.2,82,26,1.5
268,Margate,GB,2021-11-20 16:34:37,51.3813,1.3862,51.51,80,100,1.99
269,Saint Anthony,US,2021-11-20 16:34:39,45.0205,-93.218,41.83,100,1,1.99
270,Saqqez,IR,2021-11-20 16:34:39,36.2499,46.2735,48.0,47,100,4.65
271,Zaria,NG,2021-11-20 16:34:40,11.1113,7.7227,82.49,20,2,7.14
272,Gat,IL,2021-11-20 16:35:05,31.61,34.7642,63.39,66,98,5.95
273,Guasdualito,VE,2021-11-20 16:35:41,7.2424,-70.7324,92.75,46,75,2.55
274,Maniwaki,CA,2021-11-20 16:35:42,46.3834,-75.966,34.34,69,96,5.75
275,Korla,CN,2021-11-20 16:35:42,41.7597,86.1469,28.83,51,0,2.8
276,Malindi,KE,2021-11-20 16:33:19,-3.2175,40.1191,82.56,74,20,11.5
277,Clyde River,CA,2021-11-20 16:35:43,70.4692,-68.5914,8.83,92,40,23.02
278,Kaiwaka,NZ,2021-11-20 16:35:44,-36.1667,174.45,61.21,97,34,3.31
279,Tongchuan,CN,2021-11-20 16:35:44,35.0806,109.0897,40.44,51,82,7.02
280,Richards Bay,ZA,2021-11-20 16:35:45,-28.783,32.0377,67.8,66,97,6.2
281,Lasa,IT,2021-11-20 16:35:45,46.6166,10.7002,49.08,58,9,1.23
282,Bubaque,GW,2021-11-20 16:33:19,11.2833,-15.8333,85.44,57,0,8.75
283,Andros Town,BS,2021-11-20 16:35:46,24.7,-77.7667,82.36,73,90,8.97
284,Pemangkat,ID,2021-11-20 16:35:46,1.1667,108.9667,79.09,85,100,5.21
285,Luderitz,NA,2021-11-20 16:35:47,-26.6481,15.1594,65.57,68,11,23.87
286,Beyneu,KZ,2021-11-20 16:35:47,45.3167,55.2,31.51,68,52,10.85
287,Tawang,IN,2021-11-20 16:35:48,27.5833,91.8667,41.7,85,67,1.39
288,Portales,US,2021-11-20 16:31:48,34.1862,-103.3344,63.01,24,70,7.0
289,Enkoping,SE,2021-11-20 16:35:49,59.6361,17.0777,41.23,88,100,6.35
290,Saint Pete Beach,US,2021-11-20 16:35:49,27.7253,-82.7412,78.1,72,40,1.99
